Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price CAD,Extended Price CAD,
1,1040,399-1168-1-ND,CAP CER 0.1UF 25V X7R 0805,,1040,0,0.01917,19.94,
2,23,1276-1109-1-ND,CAP CER 10PF 50V C0G/NP0 0805,,23,0,0.06400,1.47,
3,20,399-1122-1-ND,CAP CER 100PF 50V C0G/NP0 0805,,20,0,0.07100,1.42,
4,11,399-5706-1-ND,CAP CER 10000PF 25V X8R 0805,,11,0,0.20400,2.24,
5,28,399-1130-1-ND,CAP CER 330PF 50V C0G/NP0 0805,,28,0,0.09400,2.63,
6,11,541-75.0FCT-ND,RES SMD 75 OHM 1% 1/4W 1206,,11,0,0.08900,0.98,
7,11,399-8092-1-ND,CAP CER 0.047UF 25V C0G/NP0 0805,,11,0,0.76600,8.43,
8,22,1727-5342-1-ND,DIODE SCHOTTKY 4V 30MA SC76,,22,0,0.44200,9.72,
9,18,445-6950-1-ND,CAP CER 0.033UF 50V C0G 0805,,18,0,0.38300,6.89,
10,44,67-1356-1-ND,LED RED CLEAR 1206 SMD,,44,0,0.32600,14.34,
11,5,AD9915BCPZ-ND,IC DDS 16B 2.5GHZ 88LFCSP,,5,0,227.39000,1136.95,
12,6,LM1086IS-5.0/NOPB-ND,IC REG LIN 5V 1.5A DDPAK/TO263-3,,6,0,2.87000,17.22,
13,11,LM1086IS-3.3/NOPB-ND,IC REG LINEAR 3.3V 1.5A DDPAK,,11,0,2.57500,28.33,
14,11,LM1086IS-1.8/NOPB-ND,IC REG LINEAR 1.8V 1.5A DDPAK,,11,0,2.57500,28.33,
15,5,LM1086CS-2.5/NOPB-ND,IC REG LINEAR 2.5V 1.5A DDPAK,,5,0,2.87000,14.35,
16,5,LP2983AIM5-1.2/NOPBCT-ND,IC REG LINEAR 1.2V 150MA SOT23-5,,5,0,1.97000,9.85,
17,5,AD9744ARUZ-ND,IC DAC 14BIT 210MSPS 28-TSSOP,,5,0,26.16000,130.80,
18,5,903-1056-1-ND,BOARD SHIELD 1.747X1.747" FRAME,,5,0,5.91000,29.55,
19,10,311-2.4KERCT-ND,RES SMD 2.4K OHM 5% 1/4W 1206,,10,0,0.03600,0.36,
20,5,544-2567-5-ND,IC CONFIG DEVICE 16MBIT 8SOIC,,5,0,24.31000,121.55,
21,5,ADL5330ACPZ-REEL7CT-ND,IC AMP/ATTENUATOR RF VAR 24LFCSP,,5,0,16.04000,80.20,
22,44,MAX3094ECUE+-ND,IC RS485/422 RX 10MBPS 16TSSOP,,44,0,3.13000,137.72,
23,11,MAX3030ECUE+-ND,IC RS-422 TRANSMIT QUAD 16TSSOP,,11,0,2.68800,29.57,
24,5,544-2833-ND,IC FPGA 153 I/O 256FBGA,,5,0,63.46000,317.30,
25,5,296-21995-1-ND,IC LED DRIVER LIN 120MA 16SOIC,,5,0,2.33000,11.65,
26,100,RHM10.0KAICT-ND,RES SMD 10K OHM 1% 1/4W 1206,,100,0,0.11830,11.83,
27,10,541-3.30KFCT-ND,RES SMD 3.3K OHM 1% 1/4W 1206,,10,0,0.08900,0.89,
28,10,P4.02KFCT-ND,RES SMD 4.02K OHM 1% 1/4W 1206,,10,0,0.07400,0.74,
29,10,541-49.9FCT-ND,RES SMD 49.9 OHM 1% 1/4W 1206,,10,0,0.08900,0.89,
30,10,541-3.90KFCT-ND,RES SMD 3.9K OHM 1% 1/4W 1206,,10,0,0.08900,0.89,
31,100,399-9721-1-ND,CAP TANT 10UF 25V 20% 1411,,100,0,0.76680,76.68,
32,500,399-9254-1-ND,CAP CER 560PF 50V C0G/NP0 0805,,500,0,0.32940,164.70,
33,10,1276-1300-1-ND,CAP CER 470PF 50V X7R 0805,,10,0,0.07100,0.71,
34,10,311-4.70KFRCT-ND,RES SMD 4.7K OHM 1% 1/4W 1206,,10,0,0.04700,0.47,
